,Approved Plant 1,Approved Plant 2,Approved Plant 3,Demand Type,Grade,Sum of Max Age at Time of Shipment,Item#,Order#,Sum of Ordered LBS,Sum of Ordered Pallets,Ship Date,Shipping Warehouse Code,Spec
53,WA003,,,Order,101,120,310726,232128-1-8-135,55115,20.0,2025-07-18 00:00:00,WA007,3007DRYGUM
54,WA003,,,Order,101,120,310726,232128-1-8-135,165345,60.0,2025-07-18 00:00:00,WA007,3007DRYGUM
55,WA003,,,Order,101,120,310726,232128-1-8-136,220460,80.0,2025-07-21 00:00:00,WA007,3007DRYGUM
56,WA003,,,Order,101,120,310726,232128-1-8-137,220460,80.0,2025-07-21 00:00:00,WA007,3007DRYGUM
57,WA003,,,Order,101,120,310726,232128-1-8-138,220460,80.0,2025-07-13 00:00:00,WA007,3007DRYGUM
58,WA003,,,Order,101,120,310726,232130-1-10-126,165345,60.0,2025-07-29 00:00:00,WA007,3007DRYGUM
59,WA003,,,Order,101,120,310726,232130-1-10-127,110230,40.0,2025-07-29 00:00:00,WA007,3007DRYGUM
60,WA003,,,Order,101,120,310726,232130-1-8-120,55115,20.0,2025-06-12 00:00:00,WA007,3007DRYGUM
61,WA003,,,Order,101,120,310726,232130-1-8-120,55115,20.0,2025-06-12 00:00:00,WA007,3007DRYGUM
62,WA003,,,Order,101,120,310726,232130-1-8-121,110230,40.0,2025-06-25 00:00:00,WA007,3007DRYGUM
63,WA003,,,Order,101,120,310726,232130-1-8-122,55115,20.0,2025-06-25 00:00:00,WA007,3007DRYGUM
64,WA003,,,Order,101,120,310726,232130-1-9-123,55,0.0199582690737548,2025-07-11 00:00:00,WA007,3007DRYGUM
65,WA003,,,Order,101,120,310726,232130-1-9-123,55060,19.98004173092624,2025-07-11 00:00:00,WA007,3007DRYGUM
66,WA003,,,Order,101,120,310726,232130-1-9-124,55115,20.0,2025-07-15 00:00:00,WA007,3007DRYGUM
67,WA003,,,Order,101,120,310726,232130-1-9-125,55115,20.0,2025-07-20 00:00:00,WA007,3007DRYGUM
68,ID002,,,Order,102,120,310015,232146-1-6-126,110,0.0399165381475097,2025-06-25 00:00:00,ID010,9999A
69,ID002,,,Order,102,120,310015,232146-1-6-126,41226,14.959992742447607,2025-06-25 00:00:00,ID010,9999A
70,ID002,,,Order,102,120,310015,232146-1-6-127,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
71,ID002,,,Order,102,120,310015,232146-1-6-128,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
72,ID002,,,Order,102,120,310015,232146-1-6-129,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
73,ID002,,,Order,102,120,310015,232146-1-6-130,41336,14.999909280595118,2025-06-25 00:00:00,ID010,9999A
74,ID002,,,Order,102,120,310015,232146-1-7-131,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A
75,ID002,,,Order,102,120,310015,232146-1-7-132,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A
76,ID002,,,Order,102,120,310015,232146-1-7-133,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A
77,ID002,,,Order,102,120,310015,232146-1-7-134,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A
78,ID002,,,Order,102,120,310015,232146-1-7-135,41336,14.999909280595118,2025-07-26 00:00:00,ID010,9999A
79,WA001,,,Order,102,120,310002,232152-1-8-108,41336,14.999909280595118,2025-08-24 00:00:00,WA001,9999A
80,WA001,,,Order,102,120,310002,232152-1-9-109,41336,14.999909280595118,2025-09-21 00:00:00,WA001,9999A
81,WA003,,,Order,101,120,310726,232163-1-6-1181664,275575,100.0,2025-06-28 00:00:00,WA007,3025S
82,WA003,,,Order,101,120,310726,232163-1-7-1181652,275575,100.0,2025-06-24 00:00:00,WA007,3025S
83,WA003,WA002,,Order,102,120,310726,232381-1-3-103,1102,0.3998911367141431,2025-06-16 00:00:00,WA007,9999A
84,WA003,WA002,,Order,102,120,310726,232381-1-3-103,109128,39.600108863285854,2025-06-16 00:00:00,WA007,9999A
