WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,Sum of AGE,LOT_NO,SUBLOT_NO,Sum of Inventory Pallets,ALLOCATED_ORDER_NUM,Allocation Date
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996312,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996313,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996314,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996315,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996324,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996325,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996331,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512214,300996332,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996338,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996339,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996348,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996349,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996358,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996359,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996368,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512215,300996369,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996405,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996406,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996414,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996417,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996425,1,"",
ID002,310015,ID002,101,3117A-3123A-9999A-9999E,9,1052512216,300996426,1,"",
