W_INSERT_DT,WHSE_CODE,ITEM_NUMBER,PRODUCTION_PLANT,QC_GRADE,SPEC,AGE,ALLOCATED_ORDER_NUM,Allocation Date
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,94,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,95,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,96,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3123A-9999A-9999E,108,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-3132A-9999A,108,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,61,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,65,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,66,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,67,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,68,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,71,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,72,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,95,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,3117A-9999A,108,"",
2025-05-01 00:00:00,MEX002,310015,ID002,101,9999A-9999E-9999A-9999E,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,102,3117A-9999A-9999A,68,"",
2025-05-01 00:00:00,MEX002,310015,ID002,102,9999A,83,"",
2025-05-01 00:00:00,MEX002,310015,ID002,102,9999A,90,"",
2025-05-01 00:00:00,TX001,310002,WA001,101,3405A-9999A-9999E,76,"",
2025-05-01 00:00:00,TX001,310002,WA001,101,3405A-9999A-9999E,76,232811-1-1-101,
2025-05-01 00:00:00,TX001,310002,WA001,102,9999A,75,"",
2025-05-01 00:00:00,TX001,310002,WA001,102,9999A,86,232811-1-1-101,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3117A-3123A-3123A-3123A-9999A-9999E-9999A-9999E,34,233375-1-1-104,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3117A-9999A-9999A,31,233374-1-1-110,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,30,"",
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-3123A-9999A-9999E-9999A-9999E,30,233376-1-1-110,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,33,233369-1-1-112,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,33,233369-1-1-113,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,33,233369-1-1-114,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,35,233089-1-2-105,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,35,233089-1-2-106,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,35,233089-1-2-107,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,42,232630-1-1-103,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,45,233376-1-1-105,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,45,233376-1-1-106,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,45,233376-1-1-107,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,45,233376-1-1-108,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,46,233375-1-1-101,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,46,233375-1-1-102,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,47,233375-1-1-101,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,55,233376-1-1-101,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,55,233376-1-1-102,
2025-05-01 00:00:00,TX001,310015,ID002,101,3117A-3123A-9999A,57,233089-1-2-108,
