Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024429,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024430,""
8,2755.75,1,310015,1002514401,101,WA001,9999A-9999E,WA001,301024431,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024432,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024433,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024561,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024562,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024563,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024581,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024582,""
8,2755.75,1,310015,1002514402,101,WA001,9999A-9999E,WA001,301024611,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024612,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024613,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024671,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024672,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024673,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024674,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024675,""
8,2755.75,1,310015,1002514403,101,WA001,9999A-9999E,WA001,301024676,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024680,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024682,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024772,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024773,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024774,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024802,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024803,""
8,2755.75,1,310015,1002514404,101,WA001,9999A-9999E,WA001,301024804,""
8,2755.75,1,310015,1002514405,101,WA001,9999A-9999E,WA001,301025043,""
