Sum of AGE,Sum of Inventory LBS,Sum of Inventory Pallets,ITEM_NUMBER,LOT_NO,QC_GRADE,PRODUCTION_PLANT,SPEC,WHSE_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300944034,
69,2755.75,1,310724,1012508417,101,WA002,3040A-3045A-3053A-9999A,WA007,300944035,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944039,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944040,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944041,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944042,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944082,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944083,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944084,
69,2755.75,1,310724,1012508418,101,WA002,3040A-3045A-3053A-9999A,WA007,300944085,
69,2755.75,1,310724,1012508419,101,WA002,3040A-3045A-3053A-3055A-9999A,WA007,300944114,
69,2755.75,1,310724,1012508419,101,WA002,3040A-3045A-3053A-3055A-9999A,WA007,300944115,
69,2755.75,1,310724,1012508419,101,WA002,3040A-3045A-3053A-3055A-9999A,WA007,300944116,
70,2755.75,1,310724,1012508310,101,WA002,3040A-3045A-9999A,WA007,300942424,
70,2755.75,1,310724,1012508310,101,WA002,3040A-3045A-9999A,WA007,300942426,
70,110.23,0,310726,1022508360,101,WA003,3002A-3025S-3033A-9999A-9999E,WA007,300943381,
70,55.115,0,310726,1022508361,101,WA003,3002A-3025S-3033A-9999A-9999E,WA007,300943467,
71,165.345,0,310724,1012508217,101,WA002,3040A-3045A-9999A-9999C,WA007,300941171,
71,55.115,0,310726,1022508256,101,WA003,3007S-3025S-3033A-3035A-9999A-9999E,WA007,300941359,
72,585.0,0,310086,1052508138,101,ID002,3139A-3140A-9999A,ID010,300939577,
72,55.115,0,310726,1022508165,101,WA003,3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA007,300940759,
73,55.115,0,310724,1012508002,101,WA002,3040A-3045A-9999A,WA007,300937716,
74,55.115,0,310724,1012507901,101,WA002,3040A-3045A-9999A,WA007,300937213,
77,2070.0,1,310086,1052507633,101,ID002,3139A-3140A-9999A,ID002,300932459,
78,55.115,0,310015,1052507501,101,ID002,3117A-3123A-9999A,MEX002,300930207,
78,881.84,0,310015,1052507502,101,ID002,3117A-3123A-9999A-9999A,MEX002,300930295,
78,992.07,0,310015,1052507503,101,ID002,3117A-3123A-9999A,MEX002,300930446,
78,826.725,0,310015,1052507504,101,ID002,3117A-3123A-9999A,MEX002,300930587,
78,165.345,0,310015,1052507505,101,ID002,3117A-3123A-9999A,MEX002,300930655,
78,330.69,0,310015,1052507507,101,ID002,3117A-3123A-9999A-9999E,MEX002,300930709,
78,440.92,0,310015,1052507510,101,ID002,3117A-3123A-9999A-9999E,MEX002,300931008,
78,165.345,0,310015,1052507511,101,ID002,3117A-3123A-9999A-9999E,MEX002,300931088,
78,220.46,0,310015,1052507512,101,ID002,3117A-3123A-9999A-9999E,MEX002,300931337,
78,55.115,0,310726,1022507564,101,WA003,3025S-3033A-9999A-9999C-9999CS-9999E,WA007,300933266,
79,55.115,0,310015,1052507407,101,ID002,3117A-3123A-9999A,MEX002,300929239,
80,220.46,0,310015,1052507306,101,ID002,3117A-3123A-9999A-9999E,MEX002,300932392,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927072,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927073,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927106,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927107,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927108,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927109,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927110,
81,2755.75,1,310018,1002507201,102,WA001,9999A,WA001,300927112,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927176,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927177,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927178,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927180,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927181,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927233,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA001,300927234,
81,2755.75,1,310018,1002507202,102,WA001,9999A,WA018,300927179,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927248,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927249,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927254,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927255,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927288,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927312,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927313,
81,2755.75,1,310018,1002507203,102,WA001,9999A,WA001,300927314,
81,55.115,0,310726,1022507261,101,WA003,3007S-3025S-9999A-9999C-9999CS-9999E,WA007,300928330,
