AGE,TOTAL_WEIGHTS,TOTAL_PALLETS,ITEM_NUMBER,LOT_NO,GRADE,PRODUCTION_PLANT,SPEC,WHS_CODE,SUBLOT_NO,ALLOCATED_ORDER_NUM,JOINER,CLEANED_SPEC,SPEC_VALUE
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029018,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029019,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514658,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029020,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029028,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029029,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029030,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029061,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029062,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029063,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029093,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514659,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029094,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029132,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029133,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029134,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029138,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029139,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
6,2755.75,1,310726,1022514660,101,WA003,3005WGUM-3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999C-9999CS-9999E,WA003,301029145,,1,3007DRYGUM-3007FO-3007S-3025S-3033A-3035A-9999A-9999E,8
