,LOT_NO,SUBLOT_NO,join_col
398,1002511001,300979316,WA001310015WA0011019999A-9999E17
399,1002511002,300979317,WA001310015WA0011019999A-9999E17
400,1002511002,300979357,WA001310015WA0011019999A-9999E17
401,1002511002,300979358,WA001310015WA0011019999A-9999E17
402,1002511002,300979359,WA001310015WA0011019999A-9999E17
403,1002511002,300979360,WA001310015WA0011019999A-9999E17
404,1002511002,300979361,WA001310015WA0011019999A-9999E17
405,1002511002,300979384,WA001310015WA0011019999A-9999E17
406,1002511002,300979386,WA001310015WA0011019999A-9999E17
407,1002511003,300979399,WA001310015WA0011019999A-9999E17
408,1002511003,300979436,WA001310015WA0011019999A-9999E17
409,1002511003,300979437,WA001310015WA0011019999A-9999E17
410,1002511003,300979438,WA001310015WA0011019999A-9999E17
411,1002511003,300979439,WA001310015WA0011019999A-9999E17
412,1002511003,300979440,WA001310015WA0011019999A-9999E17
413,1002511003,300979441,WA001310015WA0011019999A-9999E17
414,1002511003,300979442,WA001310015WA0011019999A-9999E17
415,1002511004,300979463,WA001310015WA0011019999A-9999E17
416,1002511004,300979464,WA001310015WA0011019999A-9999E17
417,1002511004,300979465,WA001310015WA0011019999A-9999E17
418,1002511004,300979466,WA001310015WA0011019999A-9999E17
419,1002511004,300979480,WA001310015WA0011019999A-9999E17
420,1002511004,300979481,WA001310015WA0011019999A-9999E17
421,1002511004,300979486,WA001310015WA0011019999A-9999E17
422,1002511004,300979487,WA001310015WA0011019999A-9999E17
423,1002511005,300979511,WA001310015WA0011019999A-9999E17
424,1002511005,300979512,WA001310015WA0011019999A-9999E17
425,1002511005,300979513,WA001310015WA0011019999A-9999E17
426,1002511005,300979514,WA001310015WA0011019999A-9999E17
427,1002511005,300979571,WA001310015WA0011019999A-9999E17
428,1002511005,300979572,WA001310015WA0011019999A-9999E17
429,1002511005,300979573,WA001310015WA0011019999A-9999E17
430,1002511005,300979574,WA001310015WA0011019999A-9999E17
431,1002511006,300979593,WA001310015WA0011019999A-9999E17
